,Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,Config,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
10,0.0038255165585181898,0.042621485140648716,5,"(3, 4)","""Node3""","""Node2""","""Node3""","""Node4""","""Node5""","""Node4""","""Node2""","""Node3""","""Node5""","""Node1""","""Node1""",25,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
11,0.0037557407218924204,0.054433008891222434,6,"(1, 1)","""Node4""","""Node5""","""Node4""","""Node2""","""Node3""","""Node6""","""Node5""","""Node1""","""Node6""","""Node1""","""Node1""",18,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
12,0.00399292159813525,0.04344306288843775,6,"(1, 1)","""Node1""","""Node1""","""Node6""","""Node3""","""Node2""","""Node4""","""Node6""","""Node5""","""Node4""","""Node5""","""Node5""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
0,0.00606049276964506,0.043854441107705366,6,"(1, 1)","""Node5""","""Node3""","""Node6""","""Node2""","""Node1""","""Node4""","""Node3""","""Node6""","""Node4""","""Node3""","""Node4""",20,1.0,1.0,1.0,1.0,0.5,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""PB""","""PB"""
1,0.0036117132540893202,0.041892235029062336,6,"(1, 1)","""Node2""","""Node4""","""Node2""","""Node1""","""Node6""","""Node5""","""Node4""","""Node3""","""Node5""","""Node3""","""Node3""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
2,0.0031789584065368397,0.04029804982406004,6,"(1, 1)","""Node4""","""Node2""","""Node6""","""Node4""","""Node1""","""Node2""","""Node6""","""Node3""","""Node5""","""Node3""","""Node5""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
3,0.0042568361217383294,0.04269699864655358,5,"(1, 1)","""Node4""","""Node1""","""Node4""","""Node4""","""Node6""","""Node5""","""Node1""","""Node2""","""Node6""","""Node2""","""Node5""",20,0.6666666666666666,1.0,0.25,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
4,0.004204764300020029,0.05193760732490723,4,"(1, 1)","""Node2""","""Node2""","""Node4""","""Node2""","""Node1""","""Node3""","""Node3""","""Node4""","""Node1""","""Node4""","""Node1""",15,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
5,0.0033891746839261197,0.04270370137099897,6,"(1, 1)","""Node1""","""Node5""","""Node3""","""Node1""","""Node4""","""Node5""","""Node2""","""Node6""","""Node2""","""Node6""","""Node6""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""PB"""
6,0.00356921430306035,0.04182933497469014,6,"(1, 1)","""Node5""","""Node5""","""Node3""","""Node5""","""Node2""","""Node6""","""Node1""","""Node3""","""Node4""","""Node6""","""Node4""",20,1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
