Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6,pareto rank
0.004796133,0.044115984,4,"(6, 6)","""Node6""","""Node6""","""Node3""","""Node6""","""Node1""","""Node5""","""Node3""","""Node3""","""Node5""","""Node1""","""Node1""","""Adreno""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",17
0.004603245,0.044123359,5,"(8, 8)","""Node4""","""Node5""","""Node6""","""Node4""","""Node1""","""Node2""","""Node6""","""Node4""","""Node2""","""Node5""","""Node2""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",24
0.004603245,0.044123359,5,"(8, 8)","""Node4""","""Node5""","""Node6""","""Node4""","""Node1""","""Node2""","""Node6""","""Node4""","""Node2""","""Node5""","""Node2""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,0.666666667,1.0,0.5,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",25
0.004133641,0.044165573,6,"(5, 5)","""Node4""","""Node5""","""Node4""","""Node1""","""Node2""","""Node6""","""Node3""","""Node1""","""Node2""","""Node1""","""Node2""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,1.0,1.0,0.666666667,0.5,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""PB""",18
0.003993833,0.044233619,6,"(3, 3)","""Node3""","""Node4""","""Node6""","""Node1""","""Node5""","""Node4""","""Node6""","""Node1""","""Node2""","""Node1""","""Node2""","""Adreno""","""Adreno""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",1.0,1.0,0.666666667,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""",17
0.0052873780000000006,0.044244158,5,"(5, 5)","""Node3""","""Node5""","""Node6""","""Node3""","""Node5""","""Node1""","""Node3""","""Node3""","""Node1""","""Node4""","""Node4""","""MIPS""","""MIPS""","""MIPS""","""ARMv8""","""ARMv8""","""Adreno""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",27
0.003267945,0.044254806,5,"(6, 8)","""Node4""","""Node6""","""Node4""","""Node5""","""Node3""","""Node1""","""Node4""","""Node5""","""Node1""","""Node5""","""Node1""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",7
0.003639078,0.044269902,5,"(3, 3)","""Node5""","""Node6""","""Node5""","""Node1""","""Node3""","""Node6""","""Node5""","""Node1""","""Node3""","""Node4""","""Node4""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""",1.0,0.25,1.0,0.5,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""",15
0.003641635,0.044274421,4,"(7, 8)","""Node5""","""Node5""","""Node3""","""Node6""","""Node4""","""Node5""","""Node3""","""Node6""","""Node4""","""Node3""","""Node4""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB""",7
0.005003928,0.044285645,5,"(7, 8)","""Node5""","""Node3""","""Node6""","""Node1""","""Node5""","""Node4""","""Node6""","""Node1""","""Node3""","""Node1""","""Node3""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""",26
